ID,Type,Pic_Link,Longitude,Latitude,Text,Hashtags,Created_At
910563780576157696,Not_Specified,,-105.28,40.02,"temperature up 50°F -&gt; 63°F
humidity down 47% -&gt; 32%
wind 7mph -&gt; 6mph",[],Wed Sep 20 17:58:17 +0000 2017
910559083731628033,Not_Specified,,-105.2705456,40.0149856,"Want to work at General Electric? We're #hiring in #Boulder, CO! Click for details: https://t.co/eqwXHmwua1 #Finance #Job #Jobs #CareerArc","['#hiring', '#Boulder', '#Finance', '#Job', '#Jobs', '#CareerArc']",Wed Sep 20 17:39:37 +0000 2017
910552118104285184,Not_Specified,,-105.2705456,40.0149856,"See our latest #Boulder, CO #job and click to apply: Culinary Team Member - Cook (15949) - https://t.co/vLdcmoRftj #Hospitality #Hiring","['#Boulder', '#job', '#Hospitality', '#Hiring']",Wed Sep 20 17:11:56 +0000 2017
910545025502605312,Not_Specified,,-105.27658,40.00898,"Half Fast Subs would be my bae if I lived in Boulder. 🙌🏼❤️
Seriously, 25 vegetarian subs, almost… https://t.co/HUS9riRadX",[],Wed Sep 20 16:43:45 +0000 2017
910540063485947904,photo,https://pbs.twimg.com/media/DKLjXAdUIAYzWCX.jpg,-105.273098,40.0195034,"2017/09/28: Boulder, CO, United States: Community Samba Night! https://t.co/chvKId48DF https://t.co/hM6qA7xoiK",[],Wed Sep 20 16:24:02 +0000 2017
910527032890675200,Not_Specified,,-105.27655101,40.00801744,Buckethead TONIGHT at The Fox! - ROKK! @ The Fox Theatre https://t.co/LunyFfgTWO,[],Wed Sep 20 15:32:16 +0000 2017
910523256620294144,Not_Specified,,-105.2705456,40.0149856,"We're #hiring! Click to apply: Owner Operator Class A CDL, Truck Driver Jobs - https://t.co/E0xB4g8iM6 #Transportation #Boulder, CO #Job","['#hiring', '#Transportation', '#Boulder', '#Job']",Wed Sep 20 15:17:15 +0000 2017
910518760783495169,Not_Specified,,-105.28,40.02,"temperature up 43°F -&gt; 50°F
humidity down 70% -&gt; 47%
wind 6mph -&gt; 7mph",[],Wed Sep 20 14:59:23 +0000 2017
910510221700796421,Not_Specified,,-105.29789889,40.02008584,Crushing morning hikes @ Mount Sanitas https://t.co/Nkrnp1MXR8,[],Wed Sep 20 14:25:27 +0000 2017
910505994077253637,Not_Specified,,-105.28001958,40.01778133,It's been one year since I left home to hit the road and my face was last clean shaven. Feels… https://t.co/kBOduoTCQY,[],Wed Sep 20 14:08:40 +0000 2017
910505108303093760,Not_Specified,,-105.2705456,40.0149856,Join the Kelly Services team! See our latest #job opening here: https://t.co/h9sBOlnI8Z #KellyJobs #KellyServices #GeneralScience #Hiring,"['#job', '#KellyJobs', '#KellyServices', '#GeneralScience', '#Hiring']",Wed Sep 20 14:05:08 +0000 2017
910497857450344448,Not_Specified,,-105.30190142,40.00204324,"Another successful night of post work bouldering with the crew. A few first timers, and a lot of… https://t.co/1zfoPOha8U",[],Wed Sep 20 13:36:20 +0000 2017
910486606301167616,Not_Specified,,-105.28,40.02,"current weather in Boulder: clear sky, 43°F
70% humidity, wind 6mph, pressure 1015mb",[],Wed Sep 20 12:51:37 +0000 2017
910485485864206337,Not_Specified,,-105.28,40.02,"Boulder: 6:47am: sunrise
sunset will be at 7:00pm",[],Wed Sep 20 12:47:10 +0000 2017
910480644291121152,Not_Specified,,-105.27021289,40.01460816,I'm at City of @BoulderColorado in CO https://t.co/QA3Vfrvs4o,[],Wed Sep 20 12:27:56 +0000 2017
